date,vf75,vix,sigma_now,option_mid,signal,in_position,days_held,roi_mid
2026-09-14,19.528,17.1,0.8,1.79,BUY,True,0,0.0
2026-09-15,19.166,17.2,0.8,1.72,HOLD,True,1,-3.91
2026-09-16,19.118,17.71,0.8,1.83,HOLD,True,2,2.23
2026-09-17,19.247,15.44,0.8,1.59,HOLD,True,3,-11.17
2026-09-18,18.838,14.81,1.4424,1.585,HOLD,True,4,-11.45
2026-09-21,18.838,14.87,0.8,1.54,HOLD,True,7,-13.97
2026-09-22,18.905,14.21,0.8,1.37,HOLD,True,8,-23.46
2026-09-23,18.499,15.18,0.8,1.52,HOLD,True,9,-15.08
2026-09-24,18.745,15.67,0.8,1.53,HOLD,True,10,-14.53
2026-09-25,18.872,14.87,1.498,1.505,HOLD,True,11,-15.92
