Date,VX60d,VX90d,VF75,VVIX,VIX
2013-01-02,19.55,19.55,19.55,78.7699966430664,14.680000305175781
2013-01-03,19.61,19.61,19.61,77.0199966430664,14.5600004196167
2013-01-04,19.53,19.53,19.53,75.18000030517578,13.829999923706055
2013-01-07,19.59,19.59,19.59,76.7699966430664,13.789999961853027
2013-01-08,19.41,19.41,19.41,78.37000274658203,13.619999885559082
2013-01-09,19.44,19.44,19.44,78.51000213623047,13.8100004196167
2013-01-10,19.0,19.0,19.0,77.48999786376953,13.489999771118164
2013-01-11,19.07,19.07,19.07,78.5199966430664,13.359999656677246
2013-01-14,18.78,18.78,18.78,78.27999877929688,13.520000457763672
2013-01-15,18.88,18.88,18.88,77.83999633789062,13.550000190734863
2013-01-16,18.64,18.64,18.64,77.26000213623047,13.420000076293945
2013-01-17,18.53,18.53,18.53,78.7699966430664,13.569999694824219
2013-01-18,17.82,17.82,17.82,73.43000030517578,12.460000038146973
2013-01-22,17.1,17.1,17.1,73.87000274658203,12.430000305175781
2013-01-23,16.97,16.97,16.97,71.86000061035156,12.460000038146973
2013-01-24,16.89,16.89,16.89,76.16999816894531,12.6899995803833
2013-01-25,16.79,16.79,16.79,76.91999816894531,12.890000343322754
2013-01-28,16.87,16.87,16.87,78.16000366210938,13.569999694824219
2013-01-29,16.68,16.68,16.68,73.61000061035156,13.3100004196167
2013-01-30,17.12,17.12,17.12,77.33999633789062,14.319999694824219
2013-01-31,17.31,17.31,17.31,76.72000122070312,14.279999732971191
2013-02-01,17.02,17.02,17.02,73.29000091552734,12.899999618530273
2013-02-04,17.28,17.28,17.28,77.79000091552734,14.670000076293945
2013-02-05,17.18,17.18,17.18,75.06999969482422,13.720000267028809
2013-02-06,17.04,17.04,17.04,77.23999786376953,13.40999984741211
2013-02-07,16.99,16.99,16.99,76.86000061035156,13.5
2013-02-08,16.67,16.67,16.67,74.41999816894531,13.020000457763672
2013-02-11,16.47,16.47,16.47,76.0999984741211,12.9399995803833
2013-02-12,16.44,16.44,16.44,73.83000183105469,12.640000343322754
2013-02-13,16.53,16.53,16.53,73.25,12.979999542236328
2013-02-14,16.42,16.42,16.42,72.98999786376953,12.65999984741211
2013-02-15,16.39,16.39,16.39,72.55000305175781,12.460000038146973
2013-02-19,15.74,15.74,15.74,70.44999694824219,12.3100004196167
2013-02-20,16.55,16.55,16.55,79.6500015258789,14.680000305175781
2013-02-21,16.73,16.73,16.73,80.83000183105469,15.220000267028809
2013-02-22,16.43,16.4504,16.4402,78.66000366210938,14.170000076293945
2013-02-25,17.52,17.5829,17.5514,94.33999633789062,18.989999771118164
2013-02-26,17.58,17.6371,17.6086,90.2300033569336,16.8700008392334
